ID,Title,Automatable,Automated,Deprecated TestCase,Priority,Section,Section Depth,Section Description,Section Hierarchy,Suite,Test Sub-type,Type,UI Case
C2239383,Checking App column, Yes,No,No,Major (P2),NSProxy,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NSProxy,SWG/N4W, Positive test case,Functional, No
C2239384,Checking host column, Yes,No,No,Major (P2),NSProxy,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NSProxy,SWG/N4W, Positive test case,Functional, No
C2239385,Checking pop column, Yes,No,No,Major (P2),NSProxy,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NSProxy,SWG/N4W, Positive test case,Functional, No
C2239386,Check access method column, Yes,No,No,Major (P2),NSProxy,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NSProxy,SWG/N4W, Positive test case,Functional, No
C2239387,Check tenant id column, Yes,No,No,Major (P2),NSProxy,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NSProxy,SWG/N4W, Positive test case,Functional, No
C1785375,Feature Flag Default Status, Yes,Yes,No,Major (P2),NPLAN-1978: Synthetic Probe,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-1978: Synthetic Probe,SWG/N4W, Positive test case,Functional, No
C1785376,Check Log of Disabling feature flag, Yes,Yes,No,Major (P2),NPLAN-1978: Synthetic Probe,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-1978: Synthetic Probe,SWG/N4W, Positive test case,Functional, No
C1785377,Check Log of Enabling feature flag, Yes,Yes,No,Major (P2),NPLAN-1978: Synthetic Probe,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-1978: Synthetic Probe,SWG/N4W, Positive test case,Functional, No
C1785378,Measure Netskope Transit Time (By Sniffer), Yes,Yes,No,Major (P2),NPLAN-1978: Synthetic Probe,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-1978: Synthetic Probe,SWG/N4W, Positive test case,Functional, No
C1785379,Measure Netskope Transit Time (By Log), Yes,Yes,No,Major (P2),NPLAN-1978: Synthetic Probe,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-1978: Synthetic Probe,SWG/N4W, Positive test case,Functional, No
C1785380,Measure Server Response Time (By Sniffer), Yes,Yes,No,Major (P2),NPLAN-1978: Synthetic Probe,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-1978: Synthetic Probe,SWG/N4W, Positive test case,Functional, No
C1785381,Measure Server Response Time (By Log), Yes,Yes,No,Major (P2),NPLAN-1978: Synthetic Probe,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-1978: Synthetic Probe,SWG/N4W, Positive test case,Functional, No
C1785382,Measure TCP Handshake Time (By Sniffer), Yes,Yes,No,Major (P2),NPLAN-1978: Synthetic Probe,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-1978: Synthetic Probe,SWG/N4W, Positive test case,Functional, No
C1785383,Measure TCP Handshake Time (By Log), Yes,Yes,No,Major (P2),NPLAN-1978: Synthetic Probe,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-1978: Synthetic Probe,SWG/N4W, Positive test case,Functional, No
C1785384,Measure SSL Handshake Time (By Sniffer), Yes,Yes,No,Major (P2),NPLAN-1978: Synthetic Probe,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-1978: Synthetic Probe,SWG/N4W, Positive test case,Functional, No
C1785385,Measure SSL Handshake Time (By Log), Yes,Yes,No,Major (P2),NPLAN-1978: Synthetic Probe,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-1978: Synthetic Probe,SWG/N4W, Positive test case,Functional, No
C1785386,Synthetic Probe ID, Yes,Yes,No,Major (P2),NPLAN-1978: Synthetic Probe,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-1978: Synthetic Probe,SWG/N4W, Positive test case,Functional, No
C1785387,Access Website which Will be Re-Directe, Yes,Yes,No,Major (P2),NPLAN-1978: Synthetic Probe,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-1978: Synthetic Probe,SWG/N4W, Negative test case,Functional, No
C1785388,Transaction Event Should not Be Triggered, Yes,Yes,No,Major (P2),NPLAN-1978: Synthetic Probe,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-1978: Synthetic Probe,SWG/N4W, Negative test case,Functional, No
C1785389,Skope IT Should not Be Triggered, Yes,Yes,No,Major (P2),NPLAN-1978: Synthetic Probe,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-1978: Synthetic Probe,SWG/N4W, Negative test case,Functional, No
C1785390,Error Log of Destination Unavailable, Yes,Yes,No,Major (P2),NPLAN-1978: Synthetic Probe,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-1978: Synthetic Probe,SWG/N4W, Negative test case,Functional, No
C1785391,RTPolicy Should be Bypassed, Yes,Yes,No,Major (P2),NPLAN-1978: Synthetic Probe,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-1978: Synthetic Probe,SWG/N4W, Positive test case,Functional, No
C1785392,SSL Bypassed Policy Should be Bypassed, Yes,Yes,No,Major (P2),NPLAN-1978: Synthetic Probe,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-1978: Synthetic Probe,SWG/N4W, Positive test case,Functional, No
C1785393,Error Log of SSL Protocol Error, Yes,Yes,No,Major (P2),NPLAN-1978: Synthetic Probe,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-1978: Synthetic Probe,SWG/N4W, Negative test case,Functional, No
C2055945,Feature Flag Default Status, Yes,Yes,No,Major (P2),NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,SWG/N4W, Positive test case,Functional, No
C2055946,Check Log of Disabling feature flag, Yes,Yes,No,Major (P2),NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,SWG/N4W, Positive test case,Functional, No
C2055947,Check Log of Enabling feature flag, Yes,Yes,No,Major (P2),NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,SWG/N4W, Positive test case,Functional, No
C2055948,Measure Netskope Transit Time (By Sniffer), Yes,Yes,No,Major (P2),NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,SWG/N4W, Positive test case,Functional, No
C2055949,Measure Netskope Transit Time (By Log), Yes,Yes,No,Major (P2),NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,SWG/N4W, Positive test case,Functional, No
C2055950,Measure Server Response Time (By Sniffer), Yes,Yes,No,Major (P2),NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,SWG/N4W, Positive test case,Functional, No
C2055951,Measure Server Response Time (By Log), Yes,Yes,No,Major (P2),NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,SWG/N4W, Positive test case,Functional, No
C2055952,Measure TCP Handshake Time (By Sniffer), Yes,Yes,No,Major (P2),NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,SWG/N4W, Positive test case,Functional, No
C2055953,Measure TCP Handshake Time (By Log), Yes,Yes,No,Major (P2),NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,SWG/N4W, Positive test case,Functional, No
C2055954,Measure SSL Handshake Time (By Sniffer), Yes,Yes,No,Major (P2),NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,SWG/N4W, Positive test case,Functional, No
C2055955,Measure SSL Handshake Time (By Log), Yes,Yes,No,Major (P2),NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,SWG/N4W, Positive test case,Functional, No
C2055956,Using GRE as ACM to Measure Transmit Time, Yes,Yes,No,Major (P2),NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,SWG/N4W, Positive test case,Functional, No
C2055957,Using IPsec as ACM to Measure Transmit Time, Yes,Yes,No,Major (P2),NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,SWG/N4W, Positive test case,Functional, No
C2055958,Using GRE and Client as ACM to Measure Transmit Time at the Same Time, Yes,Yes,No,Major (P2),NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,SWG/N4W, Positive test case,Functional, No
C2055959,Synthetic Probe ID, Yes,Yes,No,Major (P2),NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,SWG/N4W, Positive test case,Functional, No
C2055960,Access Website which Will be Re-Directe, Yes,Yes,No,Major (P2),NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,SWG/N4W, Negative test case,Functional, No
C2055961,Transaction Event Should not Be Triggered, Yes,Yes,No,Major (P2),NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,SWG/N4W, Negative test case,Functional, No
C2055962,Skope IT Should not Be Triggered, Yes,Yes,No,Major (P2),NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,SWG/N4W, Negative test case,Functional, No
C2055963,Error Log of Destination Unavailable, Yes,Yes,No,Major (P2),NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,SWG/N4W, Negative test case,Functional, No
C2055964,RTPolicy Should be Bypassed, Yes,Yes,No,Major (P2),NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,SWG/N4W, Positive test case,Functional, No
C2055965,SSL Bypassed Policy Should be Bypassed, Yes,Yes,No,Major (P2),NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,SWG/N4W, Positive test case,Functional, No
C2055966,Error Log of SSL Protocol Error, Yes,Yes,No,Major (P2),NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,SWG/N4W, Negative test case,Functional, No
C2222141,Synthetic probe traffic does not invoke any of the policy module, Yes,No,No,Major (P2),NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,SWG/N4W, Positive test case,Functional, No
C2222142,Traffic should not be sent to IPS engine, Yes,No,No,Major (P2),NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,SWG/N4W, Positive test case,Functional, No
C2222143,Synthetic probe traffic does not invoke any bypass policy should not applicable, Yes,No,No,Major (P2),NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,2,,Datapath(SWG) - Taiwan QE > Enhanced Digital  Experience Monitoring > NPLAN-4341 Expose NSproxy Metrics via HTTP Headers,SWG/N4W, Positive test case,Functional, No
C1494294,enablement of domain fronting via ursa, Yes,Yes,No,Major (P2),Domain Fronting,2,,Datapath(SWG) - Taiwan QE > Domain Fronting > Domain Fronting,SWG/N4W, Positive test case,Functional, No
C1494295,domain fronting bypass setting configuration, Yes,Yes,No,Major (P2),Domain Fronting,2,,Datapath(SWG) - Taiwan QE > Domain Fronting > Domain Fronting,SWG/N4W, Positive test case,Functional, No
C1494296,domain fronting bypass setting configuration, Yes,Yes,No,Major (P2),Domain Fronting,2,,Datapath(SWG) - Taiwan QE > Domain Fronting > Domain Fronting,SWG/N4W, Positive test case,Functional, No
C1494297,correct bypass_settings.json generation for bypass, No,No,No,Major (P2),Domain Fronting,2,,Datapath(SWG) - Taiwan QE > Domain Fronting > Domain Fronting,SWG/N4W, Positive test case,Functional, No
C1494298,correct bypass_settings.json generation for block, Yes,Yes,No,Major (P2),Domain Fronting,2,,Datapath(SWG) - Taiwan QE > Domain Fronting > Domain Fronting,SWG/N4W, Positive test case,Functional, No
C1494299,Send non domain fronted traffic to proxy, No,No,No,Major (P2),Domain Fronting,2,,Datapath(SWG) - Taiwan QE > Domain Fronting > Domain Fronting,SWG/N4W, Positive test case,Functional, No
C1494300,Send domain fronted traffic to proxy, Yes,Yes,No,Major (P2),Domain Fronting,2,,Datapath(SWG) - Taiwan QE > Domain Fronting > Domain Fronting,SWG/N4W, Positive test case,Functional, No
C1494301,transation log for domain fronting, Yes,Yes,No,Major (P2),Domain Fronting,2,,Datapath(SWG) - Taiwan QE > Domain Fronting > Domain Fronting,SWG/N4W, Positive test case,Functional, No
C1494302,domain fronting exception list config, Yes,Yes,No,Major (P2),Domain Fronting,2,,Datapath(SWG) - Taiwan QE > Domain Fronting > Domain Fronting,SWG/N4W, Positive test case,Functional, No
C1494303,domain fronting exception list function, Yes,Yes,No,Major (P2),Domain Fronting,2,,Datapath(SWG) - Taiwan QE > Domain Fronting > Domain Fronting,SWG/N4W, Positive test case,Functional, No
C1494304,domain fronting exception list with traffic from explicit proxy, Yes,Yes,No,Major (P2),Domain Fronting,2,,Datapath(SWG) - Taiwan QE > Domain Fronting > Domain Fronting,SWG/N4W, Positive test case,Functional, No
C1494305,domain fronting subdomain in exception list, Yes,Yes,No,Major (P2),Domain Fronting,2,,Datapath(SWG) - Taiwan QE > Domain Fronting > Domain Fronting,SWG/N4W, Positive test case,Functional, No
C1494306,Sumo log content, Yes,Yes,No,Major (P2),Domain Fronting,2,,Datapath(SWG) - Taiwan QE > Domain Fronting > Domain Fronting,SWG/N4W, Positive test case,Functional, No
C1494307,Sumo log for domain fronting, Yes,Yes,No,Major (P2),Domain Fronting,2,,Datapath(SWG) - Taiwan QE > Domain Fronting > Domain Fronting,SWG/N4W, Positive test case,Functional, No
C1494308,domin fronting with http, Yes,Yes,No,Major (P2),Domain Fronting,2,,Datapath(SWG) - Taiwan QE > Domain Fronting > Domain Fronting,SWG/N4W, Positive test case,Functional, No
C1494309,domain fronting with https, Yes,Yes,No,Major (P2),Domain Fronting,2,,Datapath(SWG) - Taiwan QE > Domain Fronting > Domain Fronting,SWG/N4W, Positive test case,Functional, No
C1494310,domain fronting http traffic from explicit proxy, Yes,Yes,No,Major (P2),Domain Fronting,2,,Datapath(SWG) - Taiwan QE > Domain Fronting > Domain Fronting,SWG/N4W, Positive test case,Functional, No
C1494311,Invalid SNI, Yes,Yes,No,Major (P2),Domain Fronting,2,,Datapath(SWG) - Taiwan QE > Domain Fronting > Domain Fronting,SWG/N4W, Negative test case,Functional, No
C1494312,invalid host in host header, Yes,Yes,No,Major (P2),Domain Fronting,2,,Datapath(SWG) - Taiwan QE > Domain Fronting > Domain Fronting,SWG/N4W, Negative test case,Functional, No
C1494313,invalid port host header, Yes,Yes,No,Major (P2),Domain Fronting,2,,Datapath(SWG) - Taiwan QE > Domain Fronting > Domain Fronting,SWG/N4W, Negative test case,Functional, No
C1494314,invalid host header format, Yes,Yes,No,Major (P2),Domain Fronting,2,,Datapath(SWG) - Taiwan QE > Domain Fronting > Domain Fronting,SWG/N4W, Negative test case,Functional, No
C1494315,domain fronting https traffic from proxy chaining, Yes,Yes,No,Major (P2),Domain Fronting,2,,Datapath(SWG) - Taiwan QE > Domain Fronting > Domain Fronting,SWG/N4W, Positive test case,Functional, No
C1494316,domain fronting https traffic from GRE, Yes,Yes,No,Major (P2),Domain Fronting,2,,Datapath(SWG) - Taiwan QE > Domain Fronting > Domain Fronting,SWG/N4W, Positive test case,Functional, No
C1494317,SSL bypass, Yes,Yes,No,Major (P2),Domain Fronting,2,,Datapath(SWG) - Taiwan QE > Domain Fronting > Domain Fronting,SWG/N4W, Positive test case,Functional, No
C1494318,domain fronting https traffic from explicit proxy, Yes,Yes,No,Major (P2),Domain Fronting,2,,Datapath(SWG) - Taiwan QE > Domain Fronting > Domain Fronting,SWG/N4W, Positive test case,Functional, No
C1495812,Enablement of Global Feature Flag of per tenant Domain Fronting Exception List, Yes,Yes,No,Major (P2),NSProxy (DP),3,,Datapath(SWG) - Taiwan QE > Domain Fronting > Domain Fronting - Per Tenant Exception List > NSProxy (DP),SWG/N4W, Positive test case,Functional, No
C1495813,Enablement of Local Domain Fronting Exception, Yes,Yes,No,Major (P2),NSProxy (DP),3,,Datapath(SWG) - Taiwan QE > Domain Fronting > Domain Fronting - Per Tenant Exception List > NSProxy (DP),SWG/N4W, Positive test case,Functional, No
C1495814,Sending None Donmain Fronting Traffic to Proxy w/ Enabling the Exception List Featture, Yes,Yes,No,Major (P2),NSProxy (DP),3,,Datapath(SWG) - Taiwan QE > Domain Fronting > Domain Fronting - Per Tenant Exception List > NSProxy (DP),SWG/N4W, Positive test case,Functional, No
C1495815,Sending Domain Fronting Traffic to Proxy w/ Hitting Tenant Exception List, Yes,Yes,No,Major (P2),NSProxy (DP),3,,Datapath(SWG) - Taiwan QE > Domain Fronting > Domain Fronting - Per Tenant Exception List > NSProxy (DP),SWG/N4W, Positive test case,Functional, No
C1495816,Sending Domain Fronting Traffic to Proxy w/o Hitting per Tenant Exception List but in Global Exception List, Yes,Yes,No,Major (P2),NSProxy (DP),3,,Datapath(SWG) - Taiwan QE > Domain Fronting > Domain Fronting - Per Tenant Exception List > NSProxy (DP),SWG/N4W, Positive test case,Functional, No
C1495817,Sending Domain Fronting Traffic to Proxy w/ Hitting per Tenant Exception List but not in Global Exception List, Yes,Yes,No,Major (P2),NSProxy (DP),3,,Datapath(SWG) - Taiwan QE > Domain Fronting > Domain Fronting - Per Tenant Exception List > NSProxy (DP),SWG/N4W, Positive test case,Functional, No
C1495818,Sending Domain Fronting Traffic via Explicit Proxy w/ Hitting Tenant Exception List, Yes,Yes,No,Major (P2),NSProxy (DP),3,,Datapath(SWG) - Taiwan QE > Domain Fronting > Domain Fronting - Per Tenant Exception List > NSProxy (DP),SWG/N4W, Positive test case,Functional, No
